WEEK_FUEL,DATE,MYR,,,,
2020-11-14,2020-11-13,4.1200,,,,
2020-11-07,2020-11-06,4.1260,,,,
2020-10-31,2020-10-30,4.1510,,,,
2020-10-24,2020-10-23,4.1550,,,,
2020-10-17,2020-10-16,4.1460,,,,
2020-10-10,2020-10-09,4.1350,,,,
2020-10-03,2020-10-02,4.1620,,,,
2020-09-26,2020-09-25,4.1690,,,,
2020-09-19,2020-09-18,4.1120,,,,
2020-09-12,2020-09-11,4.1510,,,,
2020-09-05,2020-09-04,4.1470,,,,
2020-08-29,2020-08-28,4.1655,,,,
2020-08-22,2020-08-21,4.1790,,,,
2020-08-15,2020-08-14,4.1910,,,,
2020-08-08,2020-08-07,4.1875,,,,
2020-08-01,2020-07-30,4.2395,,,,
2020-07-25,2020-07-24,4.2625,,,,
2020-07-18,2020-07-17,4.2625,,,,
2020-07-11,2020-07-10,4.2665,,,,
2020-07-04,2020-07-03,4.2875,,,,
2020-06-27,2020-06-26,4.2910,,,,
2020-06-20,2020-06-19,4.2675,,,,
2020-06-13,2020-06-12,4.2705,,,,
2020-06-06,2020-06-05,4.2675,,,,
2020-05-30,2020-05-29,4.3475,,,,
2020-05-23,2020-05-22,4.3635,,,,
2020-05-16,2020-05-15,4.3515,,,,
2020-05-09,2020-05-08,4.3340,,,,
2020-05-02,2020-04-30,4.2980,,,,
2020-04-25,2020-04-24,4.3595,,,,
2020-04-18,2020-04-17,4.3700,,,,
2020-04-11,2020-04-10,4.3100,,,,
2020-04-04,2020-04-03,4.3585,,,,
2020-03-28,2020-03-27,4.3275,,,,
2020-03-21,2020-03-20,4.4314,,,,
2020-03-14,2020-03-13,4.2785,,,,
2020-03-07,2020-03-06,4.1715,,,,
2020-02-29,2020-02-28,4.2135,,,,
2020-02-22,2020-02-21,4.1890,,,,
2020-02-15,2020-02-14,4.1415,,,,
2020-02-08,2020-02-07,4.1415,,,,
2020-02-01,2020-01-31,4.0960,,,,
2020-01-25,2020-01-24,4.0655,,,,
2020-01-18,2020-01-17,4.0550,,,,
2020-01-11,2020-01-10,4.0765,,,,
2020-01-04,2020-01-03,4.1020,,,,
2019-12-28,2019-12-27,4.1275,,,,
2019-12-21,2019-12-20,4.1400,,,,
2019-12-14,2019-12-13,4.1345,,,,
2019-12-07,2019-12-06,4.1595,,,,
2019-11-30,2019-11-29,4.1765,,,,
2019-11-23,2019-11-22,4.1725,,,,
2019-11-16,2019-11-15,4.1530,,,,
2019-11-09,2019-11-08,4.1335,,,,
2019-11-02,2019-11-01,4.1655,,,,
2019-10-26,2019-10-25,4.1860,,,,
2019-10-19,2019-10-18,4.1865,,,,
2019-10-12,2019-10-11,4.1855,,,,
2019-10-05,2019-10-04,4.1855,,,,
2019-09-28,2019-09-27,4.1880,,,,
2019-09-21,2019-09-20,4.1700,,,,
2019-09-14,2019-09-13,4.1645,,,,
2019-09-07,2019-09-06,4.1805,,,,
2019-08-31,2019-08-30,4.2055,,,,
2019-08-24,2019-08-23,4.1915,,,,
2019-08-17,2019-08-16,4.1785,,,,
2019-08-10,2019-08-09,4.1845,,,,
2019-08-03,2019-08-02,4.1575,,,,
2019-07-27,2019-07-26,4.1195,,,,
2019-07-20,2019-07-19,4.1135,,,,
2019-07-13,2019-07-12,4.1130,,,,
2019-07-06,2019-07-05,4.1355,,,,
2019-06-29,2019-06-28,4.1325,,,,
2019-06-22,2019-06-21,4.1495,,,,
2019-06-15,2019-06-14,4.1670,,,,
2019-06-01,2019-05-31,4.1905,,,,
2019-05-25,2019-05-24,4.1885,,,,
2019-05-18,2019-05-17,4.1765,,,,
2019-05-11,2019-05-10,4.1585,,,,
2019-05-04,2019-05-03,4.1425,,,,
2019-04-27,2019-04-26,4.1325,,,,
2019-04-20,2019-04-19,4.1325,,,,
2019-04-13,2019-04-12,4.1145,,,,
2019-04-06,2019-04-05,4.0885,,,,
2019-03-30,2019-03-29,4.0825,,,,
2019-03-23,2019-03-22,4.0645,,,,
2019-03-16,2019-03-15,4.0915,,,,
2019-03-09,2019-03-08,4.0910,,,,
2019-03-02,2019-03-01,4.0745,,,,
2019-02-23,2019-02-22,4.0785,,,,
2019-02-16,2019-02-15,4.0850,,,,
2019-02-09,2019-02-08,4.0695,,,,
2019-02-02,2019-02-01,4.0960,,,,
2019-01-26,2019-01-25,4.1250,,,,
2019-01-19,2019-01-18,4.1125,,,,
2019-01-12,2019-01-11,4.0960,,,,
2019-01-04,2019-01-04,4.1355,,,,
2018-12-01,2019-01-01,4.1325,,,,
2018-11-01,2018-11-01,4.1795,,,,
2018-10-01,2018-10-01,4.1400,,,,
2018-09-01,2018-08-31,4.1095,,,,
2018-08-30,2018-08-30,4.1095,,,,
2018-08-23,2018-08-23,4.1050,,,,
2018-08-16,2018-08-16,4.1050,,,,
2018-08-09,2018-08-09,4.0755,,,,
2018-08-02,2018-08-02,4.0760,,,,
2018-07-26,2018-07-26,4.0605,,,,
2018-07-19,2018-07-19,4.0635,,,,
2018-07-12,2018-07-12,4.0410,,,,
2018-07-05,2018-07-05,4.0430,,,,
2018-06-28,2018-06-28,4.0425,,,,
2018-06-21,2018-06-21,4.0155,,,,
2018-06-14,2018-06-14,3.9855,,,,
2018-06-07,2018-06-07,3.9765,,,,
2018-05-16,2018-05-16,3.9675,,,,
2018-05-10,2018-05-10,3.9505,,,,
2018-05-03,2018-05-03,3.9330,,,,
2018-04-26,2018-04-26,3.9175,,,,
2018-04-19,2018-04-19,3.8905,,,,
2018-04-12,2018-04-12,3.8765,,,,
2018-04-05,2018-04-05,3.8665,,,,
2018-03-29,2018-03-29,3.8680,,,,
2018-03-22,2018-03-22,3.9140,,,,
2018-03-15,2018-03-15,3.9195,,,,
2018-03-08,2018-03-08,3.9085,,,,
2018-03-01,2018-03-01,3.9285,,,,
2018-02-22,2018-02-22,3.9170,,,,
2018-02-15,2018-02-15,3.8945,,,,
2018-02-08,2018-02-08,3.9260,,,,
2018-02-01,2018-02-01,3.9010,,,,
2018-01-25,2018-01-25,3.8855,,,,
2018-01-18,2018-01-18,3.9555,,,,
2018-01-11,2018-01-11,3.9875,,,,
2018-01-04,2018-01-04,4.0065,,,,